stock_code,date_start,date_end,score,c1,c2,c3,股票名称,地区,行业,市场类型,上市状态,上市日期,是否沪深港通标的,企业性质,同花顺链接
603130.SH,2026-01-07,2026-01-09,-0.5867638056716121,55.4,56.32,55.3,云中马,浙江,纺织,主板,L,2022-11-18 00:00:00,H,民营企业,https://stockpage.10jqka.com.cn/603130/
301321.SZ,2026-03-05,2026-03-09,-0.5870131267855273,23.03,23.46,23.01,翰博高新,安徽,元器件,创业板,L,2022-08-18 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301321/
300007.SZ,2026-03-05,2026-03-09,-0.588173294916682,48.28,48.95,48.28,汉威科技,河南,电器仪表,创业板,L,2009-10-30 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/300007/
600822.SH,2026-03-05,2026-03-09,-0.5883032285321003,10.45,10.63,10.47,上海物贸,上海,汽车服务,主板,L,1994-02-04 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/600822/
600838.SH,2026-03-05,2026-03-09,-0.5902543900888017,10.74,10.86,10.76,上海九百,上海,百货,主板,L,1994-02-24 00:00:00,N,地方国有企业,https://stockpage.10jqka.com.cn/600838/
301380.SZ,2025-12-31,2026-01-06,-0.590849681871504,37.8,38.98,37.92,挖金客,北京,软件服务,创业板,L,2022-10-25 00:00:00,N,民营企业,https://stockpage.10jqka.com.cn/301380/
603528.SH,2025-12-24,2025-12-26,-0.5910437128310437,10.62,10.74,10.62,多伦科技,江苏,软件服务,主板,L,2016-05-03 00:00:00,H,外资,https://stockpage.10jqka.com.cn/603528/
301491.SZ,2026-02-26,2026-03-02,-0.5917057008936998,57.82,58.85,58.03,汉桑科技,江苏,IT设备,创业板,L,2025-08-06 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/301491/
301392.SZ,2025-12-15,2025-12-17,-0.5929921487967796,141.09,142.42,140.91,汇成真空,广东,专用机械,创业板,L,2024-06-05 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/301392/
300307.SZ,2026-03-05,2026-03-09,-0.5941010460957519,6.99,7.07,6.99,慈星股份,浙江,纺织机械,创业板,L,2012-03-29 00:00:00,S,民营企业,https://stockpage.10jqka.com.cn/300307/
